# BEAST v1.7.5
# Generated Tue Jan 13 01:30:22 CST 2015 [seed=1421134222174]
state	posterior	prior	likelihood	treeModel.rootHeight	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood
0	-4401.755021196069	-240.57398175695664	-4161.181039439112	6.7448922345198365	20.0	0.05	5.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0050	-4161.181039439112
50000	-3405.1165066445737	-332.86453367675733	-3072.2519729678165	6.7386293163134265	17876.5729221688	0.46372647889193686	0.004827655506358215	6.940359408901256	0.32360081677779035	0.19415441413772674	0.23253761614769536	0.2497071529367877	2.676731778344231E-4	-3072.2519729678165
100000	-3468.015214724619	-396.03963122012567	-3071.9755835044934	14.517433174994725	1693.652643766328	0.4112005985234468	0.9529981254289563	11.077530278609082	0.3754235117429314	0.1761456717219857	0.2239798219581228	0.22445099457696022	1.1202202230803684E-4	-3071.9755835044934
150000	-3564.2633280120367	-506.4199425418825	-3057.8433854701543	58.61347115217435	26129.95947534603	0.07746251546428606	0.6061110149393567	10.271735396911623	0.37332373722238965	0.1756497133661178	0.2217626058112832	0.22926394360020952	3.0131665073649026E-5	-3057.8433854701543
200000	-3587.9995509832565	-528.8746377648191	-3059.1249132184375	95.56992919937413	3333660.0203033388	0.061575004955882084	0.010533533023899496	13.43922435645696	0.3637830919095988	0.18444666751451635	0.22013313904221682	0.2316371015336681	2.2600120854324673E-5	-3059.1249132184375
250000	-3617.878518075934	-546.8278139465687	-3071.0507041293654	120.32336107823343	247339.11822636088	0.048704999164037366	0.34009084376145543	9.03560173379992	0.36745163781306106	0.18620608456147994	0.22930425837343635	0.21703801925202254	1.7355524597419116E-5	-3071.0507041293654
300000	-3588.425848563525	-516.8068173758511	-3071.619031187674	83.84012981203054	24891.672229354474	0.08754312027314115	1.6397343897727992	7.488877982307496	0.3306579875261755	0.19708354737705583	0.22889507711276494	0.24336338798400367	1.9288097026583784E-5	-3071.619031187674
350000	-3595.94461065217	-525.3789819980941	-3070.5656286540757	95.14235452538259	102521.42363508025	0.06283201323605203	0.4410610784754852	6.44492740723942	0.32781048720291056	0.19385142702418148	0.23006069262738507	0.24827739314552283	1.7146045233470335E-5	-3070.5656286540757
400000	-3517.761007917138	-463.3228729871575	-3054.4381349299806	33.716223194839436	562.2205309862538	0.18173397665741597	9.45849795493923	7.511535750055891	0.35164651800841484	0.18825776949004924	0.21974127241648272	0.240354440085053	6.0707188355211934E-5	-3054.4381349299806
450000	-3493.8810904425873	-430.1206377537521	-3063.7604526888354	21.477938647225365	1554.1434349445824	0.3956235751089494	4.1365892184305455	11.208928033886922	0.34978548677647037	0.18805401672320185	0.2135037952391716	0.24865670126115585	6.825429203417385E-5	-3063.7604526888354
500000	-3502.9226368386417	-445.84920414916434	-3057.073432689477	26.152264941766376	574.0444728081535	0.33520402483255185	8.958563821839851	9.475959186899562	0.35165695425867516	0.19842120541770908	0.20716965683007496	0.24275218349354047	6.250298311584082E-5	-3057.073432689477
550000	-3510.4864791005793	-444.63910939236206	-3065.8473697082172	25.517811436315764	1182.8077652154498	0.3547647856529501	6.694423974282965	8.257153155723044	0.3467312473741786	0.18673534098718192	0.24341048283915726	0.2231229287994818	5.231332999007262E-5	-3065.8473697082172
600000	-3518.2009620700346	-472.5402620592383	-3045.6607000107965	32.67351346944556	975.7035783473851	0.19514359600292952	9.347722050461604	7.754487399467921	0.3473361988834812	0.18286708290035536	0.22034126413500127	0.24945545408116163	4.3804316023532656E-5	-3045.6607000107965
650000	-3539.55505380306	-479.9991695014207	-3059.5558843016397	55.20161543993567	14941.395204544197	0.10880395349365934	0.7303704818843039	10.812138101328065	0.36855774815241793	0.17060063660281893	0.21937963960116733	0.24146197564359523	3.866065460571052E-5	-3059.5558843016397
700000	-3563.9119634106964	-505.06842155136513	-3058.8435418593313	57.02461118874204	1434.1882172709873	0.17072242299483076	17.478307100080222	9.251696835760942	0.34813663588704735	0.18063292727247873	0.22939327768294154	0.24183715915753187	2.4815191100225537E-5	-3058.8435418593313
750000	-3547.5459321802327	-489.0288602828181	-3058.5170718974146	45.16547669340726	1409.6081503194907	0.18349795557574566	13.62148050076475	7.1223259575698386	0.35006355832711045	0.1865501484489465	0.20748977267680666	0.2558965205471359	3.650326285337668E-5	-3058.5170718974146
800000	-3548.686906067064	-484.0082977632613	-3064.6786083038023	50.168290105017384	4386.485827108106	0.13833558305246174	4.256487511249536	6.775254640359462	0.33842511060436375	0.19270803547987753	0.2135771357833814	0.25528971813237694	3.306012981330305E-5	-3064.6786083038023
850000	-3527.253397891074	-464.3433169517168	-3062.910080939357	34.688339333859545	1840.9991752227804	0.2505571679968359	6.583023320166146	9.84407203366011	0.36884442889553987	0.18107782415013388	0.2096060075787656	0.2404717393755602	3.883270617441963E-5	-3062.910080939357
900000	-3524.2858473524934	-456.65602882378096	-3067.6298185287123	29.553974548591352	2266.7656742440054	0.22810107540166924	5.071782872288578	6.415671626528948	0.3545803353354049	0.1899070048944491	0.2144393368289664	0.24107332294117909	4.203747361273445E-5	-3067.6298185287123
950000	-3559.34282302958	-482.47084316874435	-3076.8719798608354	45.85682727069997	3090.833973131048	0.26717068367387986	20.32193465576044	7.820166069951913	0.3615744218577756	0.1728372174418791	0.2295681091475923	0.23602025155275236	2.358809831498925E-5	-3076.8719798608354
1000000	-3529.84059357551	-467.93922947019826	-3061.9013641053116	46.422991948444434	20568.020488269885	0.08905085400818757	0.25022493955150377	8.893950121276626	0.3582483274878672	0.1815791260149054	0.23027241842575258	0.22990012807147414	4.299272673625852E-5	-3061.9013641053116
1050000	-3448.0356593021384	-374.98869918036945	-3073.0469601217687	15.01697483858131	1161.8708248796706	0.30078014783004225	0.308180068821736	6.924112754980692	0.35811825711603756	0.16150142169033707	0.2326639099818388	0.24771641121178592	1.4036342269499333E-4	-3073.0469601217687
1100000	-3594.696284744681	-526.3116895022771	-3068.384595242404	95.4935885602683	26657.456761766043	0.04424576209414233	0.8615852618131254	6.607779252493335	0.3558735924393651	0.18247500877040135	0.23168637652016302	0.22996502227006996	2.2433743170980037E-5	-3068.384595242404
1150000	-3704.3257325129935	-642.5333776279394	-3061.792354885054	336.10951906508996	23533.452694383464	0.027157941112966766	116.56024729903919	8.495969240657782	0.356577221696213	0.17275432447110914	0.2258026392621943	0.24486581457048304	3.630777692238267E-6	-3061.792354885054
1200000	-3713.9825515078583	-645.6994657924022	-3068.2830857154563	365.8961615871778	13943.163910763395	0.0318719029644734	135.80408761091925	9.906887104810721	0.3474059619504477	0.17575775801176433	0.22898048226921094	0.2478557977685764	3.6064440381637295E-6	-3068.2830857154563
1250000	-3705.570398037396	-645.5740119648048	-3059.996386072591	364.4422878242446	11655.715035228877	0.029052913645067013	148.47971857650174	9.36066916502235	0.3664797215888874	0.16227908076639805	0.2257977634101044	0.24544343423460943	3.7823718665047696E-6	-3059.996386072591
1300000	-3701.2281533099467	-629.9125011887908	-3071.315652121156	295.65133347281005	106216.37404647657	0.020779914497268903	9.266768291233204	6.31095650751343	0.3556778045616751	0.17409937118958163	0.22478138407056905	0.24544144017817357	4.461961312583229E-6	-3071.315652121156
1350000	-3590.898720416967	-535.6535166953661	-3055.2452037216012	95.69194984286247	3736.9905020211686	0.035133852816588096	6.798780039420193	9.330164203758741	0.34172083837201755	0.20201160531766588	0.22110215468135447	0.23516540162896138	2.0725960884793356E-5	-3055.2452037216012
1400000	-3655.8025673444954	-597.6144558899522	-3058.188111454543	209.65238803256753	5350.256658353093	0.04985317025248848	71.93472296424844	8.337302919211641	0.35256432573091595	0.18178172881497287	0.21967094350230892	0.24598300195180164	7.830518446758034E-6	-3058.188111454543
1450000	-3567.4351785268764	-511.0458945642555	-3056.389283962621	73.09025852051815	6185.768632098722	0.08873133312018	3.7567552647081524	7.269653674748414	0.35230677330111243	0.19656097471637596	0.20840157649789828	0.24273067548461288	2.224125194173197E-5	-3056.389283962621
1500000	-3607.680585447665	-534.1331684586414	-3073.5474169890235	90.80903804643675	6636.549861473043	0.07465707687154755	10.033346427338781	6.316848770208573	0.3625473292579341	0.17365998811809005	0.2166371929290737	0.2471554896949016	1.807550077748426E-5	-3073.5474169890235
1550000	-3612.2994017487417	-550.2418721961164	-3062.0575295526255	114.96086982487725	3616368.1478707585	0.056152860307055574	0.0313662511900465	12.815732738231581	0.358250606048706	0.16937496539982866	0.22031469981767288	0.25205972873379195	1.332338006021672E-5	-3062.0575295526255
1600000	-3624.4532519151317	-556.8403405525639	-3067.6129113625675	134.34234336749466	1179507.3450031392	0.05786934239601993	0.25240538827034353	15.106096895874638	0.33640891825774133	0.20843924260075206	0.21408912604185734	0.24106271309964875	1.0577087826634343E-5	-3067.6129113625675
1650000	-3647.6083471055927	-574.8513585121043	-3072.756988593488	162.24501869720297	379457.546756744	0.04403133064663134	0.8663982577895677	8.167515990760553	0.33585721666417057	0.1701977136190805	0.237824625039816	0.25612044467693257	8.87992383705669E-6	-3072.756988593488
1700000	-3602.521813221794	-530.4625727609487	-3072.0592404608456	88.51849909260002	40717.3967745558	0.05257819154136811	0.8050322984259063	5.833752331585537	0.34669596342972786	0.19151968590276866	0.2219651352225651	0.2398192154449381	1.840167141857365E-5	-3072.0592404608456
1750000	-3611.133799876024	-542.7942984426089	-3068.339501433415	114.35350681312403	234761.12471655637	0.04467774388093382	0.21060590543881577	9.079300357869384	0.3654983503150828	0.19050319195842486	0.2227440232940623	0.22125443443242976	1.7132727808370088E-5	-3068.339501433415
1800000	-3715.7000738139527	-655.6675929450568	-3060.032480868896	411.6078204952155	7296.970109880342	0.022256285233164697	161.0948703680426	8.017033014231796	0.3488468287661847	0.17959372197627935	0.23077034761455525	0.24078910164298042	3.996064968982753E-6	-3060.032480868896
1850000	-3707.137327805621	-641.7564812977668	-3065.3808465078546	374.3730765709274	20502.017629967424	0.01960472130195079	50.49408958164339	7.891601874483169	0.33706148350043647	0.1825546559721206	0.22597834033777844	0.25440552018966434	4.520241744478389E-6	-3065.3808465078546
1900000	-3692.2289841065067	-633.6006559721905	-3058.6283281343162	304.5173263894339	13991.277015383503	0.026335205458221767	72.87876298590446	12.187605360689476	0.36552115142756664	0.18287245558157786	0.21425277358076572	0.23735361941008956	5.101062692328209E-6	-3058.6283281343162
1950000	-3697.0244218759567	-644.1971866544628	-3052.827235221494	385.5652673258866	15275.455190883926	0.033846150797429475	154.85525826174222	8.630137634342235	0.3349091615534302	0.19541552993484154	0.23178641547131498	0.23788889304041314	3.4773996515447286E-6	-3052.827235221494
2000000	-3704.8332662816647	-635.9773919503928	-3068.855874331272	395.10001902601675	38591.48469107906	0.03300066645813282	143.46106805940445	8.679143010682237	0.3491448688972861	0.1904291193504785	0.21634339909188077	0.2440826126603545	2.937868035704714E-6	-3068.855874331272
2050000	-3721.3383078565894	-653.0058821996198	-3068.3324256569695	399.709800888919	8476.914854770634	0.03336191947169698	221.57075117548973	7.1236962855325565	0.35676898210075986	0.16728836187944954	0.23760501677366952	0.23833763924612084	3.5098291631971857E-6	-3068.3324256569695
2100000	-3734.970351216897	-666.2355496211384	-3068.7348015957587	552.9105313267332	34726.69701786885	0.03230961923008602	323.07602622880705	7.93465068210179	0.35552268133308085	0.17646765098312567	0.20848026541509806	0.25952940226869525	1.5257857527589642E-6	-3068.7348015957587
2150000	-3737.090799554498	-678.9465446740082	-3058.14425488049	624.2068737800528	18944.97792055992	0.034028586306642516	430.1853532417503	7.764921833695851	0.35527489430298903	0.18785110545963624	0.21677732711070133	0.24009667312667327	1.8350058759955746E-6	-3058.14425488049
2200000	-3733.5548556651706	-676.6610114768547	-3056.893844188316	664.5322899061927	24717.08130736622	0.03322358721670127	433.57281741184477	7.7307783041085765	0.33602329939416914	0.19033894435765766	0.2215272480012639	0.25211050824690906	1.540211721841888E-6	-3056.893844188316
2250000	-3755.216621825154	-695.1261802330604	-3060.0904415920936	789.5069476256076	24448.161172480708	0.026812183887447327	526.0476462825835	13.374769362880262	0.35428540047895113	0.19107765525452758	0.22603496425021746	0.2286019800163036	1.4334865408651334E-6	-3060.0904415920936
2300000	-3752.559150856974	-684.7956846667732	-3067.763466190201	660.0121351602571	15058.790930636636	0.030570651934024085	431.18176995710047	6.316681764471499	0.36111562160817995	0.18088611273374228	0.22289200685572144	0.23510625880235617	1.660177370840992E-6	-3067.763466190201
2350000	-3736.5047382392077	-668.8442523732149	-3067.660485865993	544.0693085439674	30778.03902331925	0.028925745277299297	286.75204944209963	6.742521920024353	0.36461540358396377	0.17675326509854336	0.21692433651771909	0.24170699479977378	1.7991129828654114E-6	-3067.660485865993
2400000	-3684.4611363421504	-614.9933407426894	-3069.467795599461	265.58782979952565	16926.949765273795	0.02475463053020044	21.03291270139898	7.57375004481822	0.37191097145647717	0.16087980118975298	0.21663511660831722	0.2505741107454527	7.930320511646476E-6	-3069.467795599461
2450000	-3627.5942961587516	-563.7099592058858	-3063.884336952866	137.41563596368835	20928.001009679654	0.04878790098828589	7.920295911343375	7.280494844375101	0.34677589315934176	0.17126692215247982	0.23908711864101145	0.24287006604716718	1.0667946511966697E-5	-3063.884336952866
2500000	-3610.3774147584813	-541.8022419359062	-3068.575172822575	109.70711713350207	45064.426773346335	0.03981858845815833	0.9053358613630889	15.698853881827425	0.3811066390703495	0.17580473205005656	0.20617916312203846	0.23690946575755573	1.3059086100989279E-5	-3068.575172822575
2550000	-3650.1600205889936	-581.9422906069836	-3068.21772998201	181.65031608329946	44171.734800840066	0.050958071123553994	16.5615128499817	9.014919808590143	0.3636122717079123	0.19078903641215278	0.21297551726304625	0.23262317461688883	8.315140237753843E-6	-3068.21772998201
2600000	-3614.728950929447	-544.5855242279656	-3070.1434267014815	106.93088232358626	61294.62016852863	0.06622858367398843	2.521163097500739	8.362418023072859	0.3688901259269145	0.17110690306412113	0.21946671751688657	0.24053625349207794	1.555102204673171E-5	-3070.1434267014815
2650000	-3669.5495838520355	-598.5104410071857	-3071.0391428448497	222.52402178834677	3415.392979034091	0.03848232082722536	69.79674097531614	8.005593920471814	0.33119933869548085	0.1933200845347092	0.2236827295001321	0.25179784726967813	1.0549636505386186E-5	-3071.0391428448497
2700000	-3644.1857982496667	-574.9347513266912	-3069.2510469229755	138.8917063871456	15815.369541846992	0.026004547547957557	6.460666184025141	6.8983974640959005	0.359908780947011	0.18613109884246504	0.20601982459305415	0.24794029561747014	1.0159387862944723E-5	-3069.2510469229755
2750000	-3702.845930948323	-635.7805612225415	-3067.0653697257812	330.5198729988133	13881.442665863626	0.029172973456539797	98.75174272215497	10.417965084584566	0.3642615652480159	0.1730122347096043	0.21669482709572152	0.2460313729466587	4.647359718306322E-6	-3067.0653697257812
2800000	-3682.8412980607245	-612.4794523242251	-3070.361845736499	281.019817721542	264000.95924929075	0.011515049578226133	0.682157661393853	11.714210406396843	0.347570416884769	0.19118982841277263	0.21462920165006924	0.24661055305238952	9.038077304418848E-6	-3070.361845736499
2850000	-3759.61579159141	-703.008524619722	-3056.607266971688	801.6662668513126	15444.381777358265	0.008938432081618375	245.47178922743277	8.291840730742164	0.34129471073564727	0.1761385862389169	0.24001950799669788	0.24254719502873834	2.2724348202656098E-6	-3056.607266971688
2900000	-3769.1686177862557	-706.6106015773096	-3062.5580162089464	831.3286975279298	6130066.071632824	0.0073954861035847586	2.22322342606978	6.429418753091809	0.3526690208377519	0.1889315220110646	0.21719322685602344	0.24120623029516042	1.5357726098061956E-6	-3062.5580162089464
2950000	-3763.2372154337218	-693.3978125378934	-3069.8394028958282	837.7516113724354	2.845788166241215E7	0.0073954861035847586	0.20413558957797712	10.947318174752533	0.3612394875425446	0.19313893342393418	0.2067387950137329	0.23888278401978852	1.6828019645730482E-6	-3069.8394028958282
3000000	-3759.366390001416	-690.3693229183903	-3068.9970670830257	789.3898269459019	1.138565751647064E7	0.007688393850056041	0.558449768063845	6.530455383551375	0.3571494628233699	0.18911856227935064	0.20852491566197068	0.24520705923530906	1.5457072862713362E-6	-3068.9970670830257
3050000	-3772.5748770135524	-702.949789664912	-3069.6250873486406	1035.261293646805	1394652.5329677933	0.006846932349992896	4.764521767731126	7.57795055285885	0.3414228550622265	0.20604199637947496	0.2101889236971238	0.242346224861175	1.5206057573879287E-6	-3069.6250873486406
3100000	-3698.160357282274	-627.7778313035724	-3070.382525978702	367.35199342338615	1012027.0702994709	0.012936266807892949	0.5355526149273571	9.692057796159007	0.3489587467820164	0.17391189243140007	0.23439427080260689	0.242735089983977	4.473646031727124E-6	-3070.382525978702
3150000	-3691.6708287599786	-627.1932063690724	-3064.477622390906	293.16419599909466	3.917275733986838E7	0.014538233039257609	0.010665229684677341	9.001614348071874	0.34591086301005214	0.19431811647084934	0.2288277484811438	0.23094327203795514	4.302548286629071E-6	-3064.477622390906
3200000	-3737.2351408442637	-666.5505573720404	-3070.6845834722235	540.4399756971129	1.0761234512480656E7	0.012886914790414927	0.21639225273209356	7.010444046488062	0.36076025616728535	0.18367617606778522	0.2173242215645846	0.23823934620034504	3.4720005204544494E-6	-3070.6845834722235
3250000	-3748.181725909965	-682.5094766779025	-3065.6722492320623	649.5189424487759	9516928.914524425	0.009238474545112174	0.399583071121154	9.294797179993463	0.3715515661353421	0.1534321392247905	0.2182311138697221	0.2567851807701453	2.671296150104287E-6	-3065.6722492320623
3300000	-3752.379244260046	-680.9784163391583	-3071.400827920888	615.4800483541195	2.5786384629994866E7	0.009905563785763016	0.23620980470153544	5.8553508125207605	0.34646990057123817	0.18749350063557213	0.21687644477737608	0.24916015401581365	2.3452201114448204E-6	-3071.400827920888
3350000	-3767.6721299071173	-694.3063709853009	-3073.3657589218165	721.280778402767	4.090387033174005E8	0.009474894873710227	0.02643597768210702	6.923000678517104	0.3487777285294629	0.18115501322819974	0.2300922065378801	0.2399750517044572	1.4658381075924367E-6	-3073.3657589218165
3400000	-3789.5879186456623	-718.7527923918768	-3070.8351262537853	1083.7277759740834	5.556243573941799E8	0.007647108283377113	0.09559199699003944	5.5407154943421535	0.3735270955820759	0.1665950653163409	0.20989175779108232	0.24998608131050093	1.1984742745446861E-6	-3070.8351262537853
3450000	-3755.7329687848924	-696.0355882000824	-3059.6973805848097	802.9546435718593	4.8587075189040564E7	0.0076022263907316034	0.11608080025541369	9.202389464367249	0.3537601040259688	0.18485777386367927	0.2253575524060602	0.2360245697042918	1.7777624364190273E-6	-3059.6973805848097
3500000	-3757.120792157506	-696.8166246292226	-3060.3041675282834	848.0140070139701	1.0738338977623465E7	0.007294991819718932	0.5316157618872215	11.153939927829716	0.34075009101310505	0.19047029721306086	0.2264665241908793	0.242313087582955	2.1847929130578285E-6	-3060.3041675282834
3550000	-3759.980571326633	-688.5622256223645	-3071.418345704268	775.9081135554396	1.9797265509166927E9	0.006732324715942095	0.0017271083866022463	5.476659793426903	0.3424880070000192	0.1817142691101212	0.229376561075096	0.24642116281476364	2.121335684710107E-6	-3071.418345704268
3600000	-3760.304879753593	-690.9307044556881	-3069.374175297905	919.9541168229599	1.6808679272097049E9	0.005815729263615843	0.001764172674070646	6.2783302014015305	0.34055001009116526	0.192440237172096	0.23981798046904568	0.2271917722676933	1.8945953441067627E-6	-3069.374175297905
3650000	-3795.584530283976	-717.0187178297213	-3078.5658124542547	1078.9587078675195	2.893459009599479E7	0.005458686810897895	0.30592162284508573	8.579399126332175	0.3805659407010721	0.16353631999680787	0.22037497265417885	0.23552276664794133	1.633815182968789E-6	-3078.5658124542547
3700000	-3802.01631250744	-731.9529406772452	-3070.0633718301947	1231.2252924189497	2.0553650878403794E7	0.005458686810897895	1.874308705358007	4.2002154569312005	0.34391553249548446	0.1877001776144749	0.23078016257976208	0.2376041273102787	9.71474374714889E-7	-3070.0633718301947
3750000	-3796.658758226624	-724.0728733278149	-3072.585884898809	1206.4010924330776	263881.1834800322	0.005876826379887623	39.04379274490441	13.098745666272528	0.3411560551977185	0.18560645321569516	0.21889471948583689	0.2543427721007497	1.353483411542311E-6	-3072.585884898809
3800000	-3750.8506048745517	-689.2341527794979	-3061.616452095054	944.8271347401591	50439.3097316252	0.006479322405433141	40.156928622102825	9.653456471515064	0.3265804927922789	0.18922322897720736	0.23534529035023977	0.24885098788027427	2.235482835152701E-6	-3061.616452095054
3850000	-3729.5319350182667	-661.4781428653911	-3068.0537921528758	619.0279392790086	48409.379877243286	0.007682451982065519	16.555088008751767	7.973592503776	0.33701562971554405	0.18476702227262387	0.23496309680785532	0.2432542512039771	3.4376287019704916E-6	-3068.0537921528758
3900000	-3763.7917907892497	-702.2315883662014	-3061.5602024230484	1050.2948356934583	215752.97458143844	0.006042312563222296	16.947590159519542	8.826779024707655	0.3476748773846732	0.18476880413311259	0.22982431270590087	0.23773200577631365	1.793677433959298E-6	-3061.5602024230484
3950000	-3788.758260891413	-718.8518702737416	-3069.9063906176716	1080.5717097972313	1958913.3221337164	0.0064264417319572775	10.974876981560868	9.584818264993707	0.3567920734084645	0.19536283825665993	0.21674727338696761	0.2310978149479082	1.260105154344516E-6	-3069.9063906176716
4000000	-3761.0090441013485	-703.5203414812412	-3057.4887026201072	960.8168619108811	1986100.7542678437	0.006017923784028767	1.9139242548594546	12.119316794798474	0.358858669474629	0.19159836204311426	0.21423164109845313	0.2353113273838039	2.0515899232689172E-6	-3057.4887026201072
4050000	-3813.710011561867	-742.7760746165102	-3070.933936945357	1385.6913910118785	180536.9651712424	0.006743954634677918	212.6265305163986	8.617842582889072	0.36480393470314837	0.18636535750884714	0.19987066887809746	0.24896003890990748	1.0431512211620639E-6	-3070.933936945357
4100000	-3826.032718188648	-758.204831182266	-3067.827887006382	1869.7242311846394	127051.2287451117	0.007219648179700444	807.0364219901052	6.71626585317404	0.34538615154690705	0.19687495052766638	0.22217259368823586	0.23556630423719113	5.442960413576771E-7	-3067.827887006382
4150000	-3819.717215847834	-761.3957141717864	-3058.3215016760473	1790.3715972107568	100766.87434360069	0.006608812846467194	700.7112277059078	13.2562142643796	0.35097660007206366	0.16615046894995605	0.2224711741400041	0.2604017568379765	6.501072994244864E-7	-3058.3215016760473
